entity_name,entity_type,theme,n_records,n_trade_days,log_trade_freq,avg_hold_days,turnover_rate,log_avg_trade_amount,buy_sell_ratio,trade_regularity,num_stocks,concentration_top3,concentration_top1,avg_position_pct,position_peak_ratio,stock_turnover,avg_return_pct,win_rate,profit_loss_ratio,max_drawdown,return_volatility,sharpe_approx,summary_cum_return_2025,summary_drawdown_2025,summary_annual_return
客户A,real_client,真实客户,121,92,0.8395035886603849,52.0,0.09046599378881987,10.271261377866846,1.6304347826086956,1.2631243876614278,12.0,0.6663250949906826,0.2619268304265412,0.09046599378881987,3.3749329872989122,0.09917355371900827,0.011559843400979528,0.6438356164383562,0.8672632858549875,-0.4683287869160522,0.06984393893974464,0.16550961438403938,,,
客户B,real_client,真实客户,1724,293,1.9291939289371445,2.0,0.9490232445733787,11.990964928836915,1.5167883211678832,0.7911346722997312,89.0,0.40994749992613083,0.30376351672487006,0.9490232445733787,1.5805724554979745,0.05162412993039443,-0.002353728547867063,0.5667215815485996,0.5994693871429406,-0.9917872553841675,0.03597374437043762,-0.06542906747848307,,,
客户C,real_client,真实客户,285,131,1.1554879370601117,5.0,0.5981504679389313,11.608024123840984,0.9791666666666666,1.8246535699990296,53.0,0.1900184583364675,0.06386062605685115,0.5981504679389313,2.5077302123805136,0.18596491228070175,0.00510590101668526,0.6703910614525139,0.6328583604783272,-0.49043128444906553,0.05126939327918977,0.09958965164422462,,,
